# x_m, y_m, w_tr_right_m, w_tr_left_m
30.806316216019134, -16.9162810723606, 1.1, 1.1
30.451835683264203, -16.63058679787229, 1.1, 1.1
30.098037177035284, -16.343817177595852, 1.1, 1.1
29.746495613211057, -16.054143003824134, 1.1, 1.1
29.398673556751348, -15.7598716380382, 1.1, 1.1
29.05432427265609, -15.461400132391299, 1.1, 1.1
28.711865652402697, -15.160757722928297, 1.1, 1.1
28.369680079479632, -14.860016892603639, 1.1, 1.1
28.026150028421508, -14.561250033325662, 1.1, 1.1
27.679657791670664, -14.266529628048826, 1.1, 1.1
27.328585934807833, -13.977928250773719, 1.1, 1.1
26.97134242528274, -13.697485516803493, 1.1, 1.1
26.60737989378896, -13.425903938042412, 1.1, 1.1
26.23753805874187, -13.162110080670974, 1.1, 1.1
25.862752510126953, -12.904907689646418, 1.1, 1.1
25.48395892897586, -12.65310078306434, 1.1, 1.1
25.102092905274084, -12.40549310588197, 1.1, 1.1
24.718090029007126, -12.160888676194912, 1.1, 1.1
24.33288479760698, -11.918092604652276, 1.1, 1.1
23.947157325631057, -11.676232032049016, 1.1, 1.1
23.561001845819217, -11.43517503254931, 1.1, 1.1
23.17443046730615, -11.194893472900374, 1.1, 1.1
22.787455481318794, -10.955359219849434, 1.1, 1.1
22.400089088037976, -10.716544231189838, 1.1, 1.1
22.01234339659838, -10.478420191576568, 1.1, 1.1
21.62423051613469, -10.240958967756837, 1.1, 1.1
21.235762828919977, -10.00413260857013, 1.1, 1.1
20.84695244408894, -9.76791288971754, 1.1, 1.1
20.45781147077625, -9.532271586900169, 1.1, 1.1
20.068352109162745, -9.297180657911365, 1.1, 1.1
19.67858665047534, -9.062611969498356, 1.1, 1.1
19.28852720384874, -8.828537388408366, 1.1, 1.1
18.898185969463764, -8.594928690342487, 1.1, 1.1
18.50757505645509, -8.361757833094082, 1.1, 1.1
18.116706756049666, -8.12899659236424, 1.1, 1.1
17.72559326842831, -7.896616925946312, 1.1, 1.1
17.334246702725704, -7.664590609541401, 1.1, 1.1
